ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
52,77,59,26,61,10.21197608,56.16101782,8/1/2014 0:05
51,79,56,24,63,10.21197608,56.16101782,8/1/2014 0:10
50,79,52,27,67,10.21197608,56.16101782,8/1/2014 0:15
54,81,56,29,72,10.21197608,56.16101782,8/1/2014 0:20
57,86,54,30,75,10.21197608,56.16101782,8/1/2014 0:25
57,81,57,26,78,10.21197608,56.16101782,8/1/2014 0:30
55,78,57,26,78,10.21197608,56.16101782,8/1/2014 0:35
50,83,61,31,76,10.21197608,56.16101782,8/1/2014 0:40
48,87,61,31,73,10.21197608,56.16101782,8/1/2014 0:45
52,86,58,28,78,10.21197608,56.16101782,8/1/2014 0:50
56,87,60,33,74,10.21197608,56.16101782,8/1/2014 0:55
51,86,55,35,76,10.21197608,56.16101782,8/1/2014 1:00
48,88,54,37,77,10.21197608,56.16101782,8/1/2014 1:05
46,88,58,34,75,10.21197608,56.16101782,8/1/2014 1:10
41,85,56,39,70,10.21197608,56.16101782,8/1/2014 1:15
41,86,59,38,65,10.21197608,56.16101782,8/1/2014 1:20
43,81,63,40,62,10.21197608,56.16101782,8/1/2014 1:25
40,84,58,43,60,10.21197608,56.16101782,8/1/2014 1:30
42,80,55,41,55,10.21197608,56.16101782,8/1/2014 1:35
44,79,57,40,59,10.21197608,56.16101782,8/1/2014 1:40
42,77,55,36,54,10.21197608,56.16101782,8/1/2014 1:45
45,77,55,36,58,10.21197608,56.16101782,8/1/2014 1:50
48,80,54,37,54,10.21197608,56.16101782,8/1/2014 1:55
47,82,50,33,54,10.21197608,56.16101782,8/1/2014 2:00
42,83,45,29,59,10.21197608,56.16101782,8/1/2014 2:05
44,87,40,29,62,10.21197608,56.16101782,8/1/2014 2:10
40,88,36,26,58,10.21197608,56.16101782,8/1/2014 2:15
41,92,36,31,58,10.21197608,56.16101782,8/1/2014 2:20
41,91,33,26,59,10.21197608,56.16101782,8/1/2014 2:25
37,87,38,21,59,10.21197608,56.16101782,8/1/2014 2:30
34,91,36,25,63,10.21197608,56.16101782,8/1/2014 2:35
39,91,38,28,68,10.21197608,56.16101782,8/1/2014 2:40
36,93,42,33,63,10.21197608,56.16101782,8/1/2014 2:45
39,91,46,34,60,10.21197608,56.16101782,8/1/2014 2:50
41,86,45,29,56,10.21197608,56.16101782,8/1/2014 2:55
39,89,50,26,55,10.21197608,56.16101782,8/1/2014 3:00
41,90,52,29,52,10.21197608,56.16101782,8/1/2014 3:05
40,95,52,26,55,10.21197608,56.16101782,8/1/2014 3:10
44,100,56,29,58,10.21197608,56.16101782,8/1/2014 3:15
40,99,60,26,59,10.21197608,56.16101782,8/1/2014 3:20
42,96,61,30,64,10.21197608,56.16101782,8/1/2014 3:25
39,98,63,34,64,10.21197608,56.16101782,8/1/2014 3:30
35,99,63,34,59,10.21197608,56.16101782,8/1/2014 3:35
38,98,65,37,54,10.21197608,56.16101782,8/1/2014 3:40
41,96,66,42,56,10.21197608,56.16101782,8/1/2014 3:45
42,100,65,45,51,10.21197608,56.16101782,8/1/2014 3:50
45,104,60,40,54,10.21197608,56.16101782,8/1/2014 3:55
48,105,64,36,50,10.21197608,56.16101782,8/1/2014 4:00
47,107,67,31,46,10.21197608,56.16101782,8/1/2014 4:05
43,110,67,34,46,10.21197608,56.16101782,8/1/2014 4:10
48,114,63,33,42,10.21197608,56.16101782,8/1/2014 4:15
52,116,64,37,47,10.21197608,56.16101782,8/1/2014 4:20
51,119,59,39,50,10.21197608,56.16101782,8/1/2014 4:25
48,115,54,37,47,10.21197608,56.16101782,8/1/2014 4:30
49,117,58,42,50,10.21197608,56.16101782,8/1/2014 4:35
51,115,60,44,51,10.21197608,56.16101782,8/1/2014 4:40
47,113,60,46,52,10.21197608,56.16101782,8/1/2014 4:45
51,114,56,43,56,10.21197608,56.16101782,8/1/2014 4:50
48,112,61,45,54,10.21197608,56.16101782,8/1/2014 4:55
44,112,61,49,50,10.21197608,56.16101782,8/1/2014 5:00
39,108,61,53,45,10.21197608,56.16101782,8/1/2014 5:05
37,104,65,57,42,10.21197608,56.16101782,8/1/2014 5:10
38,104,68,59,41,10.21197608,56.16101782,8/1/2014 5:15
33,109,70,55,40,10.21197608,56.16101782,8/1/2014 5:20
37,104,65,55,43,10.21197608,56.16101782,8/1/2014 5:25
41,101,65,57,46,10.21197608,56.16101782,8/1/2014 5:30
38,96,64,61,43,10.21197608,56.16101782,8/1/2014 5:35
38,95,62,56,38,10.21197608,56.16101782,8/1/2014 5:40
39,94,67,61,34,10.21197608,56.16101782,8/1/2014 5:45
36,93,72,59,29,10.21197608,56.16101782,8/1/2014 5:50
32,94,77,59,25,10.21197608,56.16101782,8/1/2014 5:55
29,89,79,62,29,10.21197608,56.16101782,8/1/2014 6:00
33,86,79,65,31,10.21197608,56.16101782,8/1/2014 6:05
28,91,75,68,31,10.21197608,56.16101782,8/1/2014 6:10
26,88,78,63,35,10.21197608,56.16101782,8/1/2014 6:15
21,87,80,60,38,10.21197608,56.16101782,8/1/2014 6:20
25,86,81,64,35,10.21197608,56.16101782,8/1/2014 6:25
22,82,77,65,33,10.21197608,56.16101782,8/1/2014 6:30
20,80,78,67,35,10.21197608,56.16101782,8/1/2014 6:35
21,78,77,64,34,10.21197608,56.16101782,8/1/2014 6:40
21,74,74,64,30,10.21197608,56.16101782,8/1/2014 6:45
16,74,77,67,28,10.21197608,56.16101782,8/1/2014 6:50
26,73,82,64,26,10.21197608,56.16101782,8/1/2014 6:55
30,76,78,61,27,10.21197608,56.16101782,8/1/2014 7:00
29,79,82,63,24,10.21197608,56.16101782,8/1/2014 7:05
31,84,85,65,27,10.21197608,56.16101782,8/1/2014 7:10
32,88,82,60,26,10.21197608,56.16101782,8/1/2014 7:15
35,88,80,62,31,10.21197608,56.16101782,8/1/2014 7:20
36,84,80,61,31,10.21197608,56.16101782,8/1/2014 7:25
41,83,75,62,29,10.21197608,56.16101782,8/1/2014 7:30
43,86,79,64,29,10.21197608,56.16101782,8/1/2014 7:35
47,83,79,63,31,10.21197608,56.16101782,8/1/2014 7:40
51,85,78,59,31,10.21197608,56.16101782,8/1/2014 7:45
49,88,76,64,35,10.21197608,56.16101782,8/1/2014 7:50
52,90,79,69,34,10.21197608,56.16101782,8/1/2014 7:55
51,91,80,69,35,10.21197608,56.16101782,8/1/2014 8:00
46,86,83,67,33,10.21197608,56.16101782,8/1/2014 8:05
51,81,88,69,32,10.21197608,56.16101782,8/1/2014 8:10
53,79,85,74,27,10.21197608,56.16101782,8/1/2014 8:15
51,80,84,71,28,10.21197608,56.16101782,8/1/2014 8:20
56,79,82,66,24,10.21197608,56.16101782,8/1/2014 8:25
51,77,84,68,29,10.21197608,56.16101782,8/1/2014 8:30
48,76,81,71,26,10.21197608,56.16101782,8/1/2014 8:35
50,76,86,69,23,10.21197608,56.16101782,8/1/2014 8:40
48,77,84,70,22,10.21197608,56.16101782,8/1/2014 8:45
50,79,84,68,25,10.21197608,56.16101782,8/1/2014 8:50
48,84,89,68,23,10.21197608,56.16101782,8/1/2014 8:55
49,85,87,63,25,10.21197608,56.16101782,8/1/2014 9:00
53,87,85,59,30,10.21197608,56.16101782,8/1/2014 9:05
57,92,90,63,27,10.21197608,56.16101782,8/1/2014 9:10
62,90,87,67,24,10.21197608,56.16101782,8/1/2014 9:15
64,94,85,64,29,10.21197608,56.16101782,8/1/2014 9:20
63,89,81,67,30,10.21197608,56.16101782,8/1/2014 9:25
58,85,85,70,31,10.21197608,56.16101782,8/1/2014 9:30
55,87,89,74,28,10.21197608,56.16101782,8/1/2014 9:35
59,86,92,77,32,10.21197608,56.16101782,8/1/2014 9:40
55,91,90,74,28,10.21197608,56.16101782,8/1/2014 9:45
50,95,93,71,27,10.21197608,56.16101782,8/1/2014 9:50
51,100,94,71,25,10.21197608,56.16101782,8/1/2014 9:55
52,99,96,67,25,10.21197608,56.16101782,8/1/2014 10:00
48,101,91,72,25,10.21197608,56.16101782,8/1/2014 10:05
45,103,91,71,27,10.21197608,56.16101782,8/1/2014 10:10
43,104,96,76,29,10.21197608,56.16101782,8/1/2014 10:15
38,109,97,78,33,10.21197608,56.16101782,8/1/2014 10:20
33,114,96,78,30,10.21197608,56.16101782,8/1/2014 10:25
35,109,94,73,32,10.21197608,56.16101782,8/1/2014 10:30
34,105,93,68,36,10.21197608,56.16101782,8/1/2014 10:35
33,102,88,64,36,10.21197608,56.16101782,8/1/2014 10:40
29,104,87,67,35,10.21197608,56.16101782,8/1/2014 10:45
29,106,87,63,34,10.21197608,56.16101782,8/1/2014 10:50
31,109,84,61,35,10.21197608,56.16101782,8/1/2014 10:55
32,109,85,66,40,10.21197608,56.16101782,8/1/2014 11:00
34,104,84,70,44,10.21197608,56.16101782,8/1/2014 11:05
29,108,89,68,45,10.21197608,56.16101782,8/1/2014 11:10
34,109,93,70,48,10.21197608,56.16101782,8/1/2014 11:15
31,107,91,71,48,10.21197608,56.16101782,8/1/2014 11:20
35,109,88,72,47,10.21197608,56.16101782,8/1/2014 11:25
35,110,93,67,51,10.21197608,56.16101782,8/1/2014 11:30
35,115,89,67,49,10.21197608,56.16101782,8/1/2014 11:35
30,120,92,70,47,10.21197608,56.16101782,8/1/2014 11:40
28,117,90,70,48,10.21197608,56.16101782,8/1/2014 11:45
23,112,93,75,44,10.21197608,56.16101782,8/1/2014 11:50
26,111,93,75,42,10.21197608,56.16101782,8/1/2014 11:55
30,106,91,75,46,10.21197608,56.16101782,8/1/2014 12:00
35,107,94,71,50,10.21197608,56.16101782,8/1/2014 12:05
37,108,91,66,45,10.21197608,56.16101782,8/1/2014 12:10
35,106,92,67,50,10.21197608,56.16101782,8/1/2014 12:15
33,111,88,63,45,10.21197608,56.16101782,8/1/2014 12:20
30,112,90,67,46,10.21197608,56.16101782,8/1/2014 12:25
33,110,87,71,45,10.21197608,56.16101782,8/1/2014 12:30
30,111,86,67,43,10.21197608,56.16101782,8/1/2014 12:35
31,112,83,69,41,10.21197608,56.16101782,8/1/2014 12:40
31,114,86,73,41,10.21197608,56.16101782,8/1/2014 12:45
27,110,83,75,44,10.21197608,56.16101782,8/1/2014 12:50
27,112,85,74,40,10.21197608,56.16101782,8/1/2014 12:55
24,114,83,77,44,10.21197608,56.16101782,8/1/2014 13:00
25,112,79,75,43,10.21197608,56.16101782,8/1/2014 13:05
28,111,79,70,48,10.21197608,56.16101782,8/1/2014 13:10
26,108,78,70,52,10.21197608,56.16101782,8/1/2014 13:15
28,110,83,73,49,10.21197608,56.16101782,8/1/2014 13:20
25,109,86,73,48,10.21197608,56.16101782,8/1/2014 13:25
29,104,83,72,45,10.21197608,56.16101782,8/1/2014 13:30
25,109,87,72,49,10.21197608,56.16101782,8/1/2014 13:35
23,112,92,72,45,10.21197608,56.16101782,8/1/2014 13:40
21,112,96,75,40,10.21197608,56.16101782,8/1/2014 13:45
26,111,94,71,45,10.21197608,56.16101782,8/1/2014 13:50
28,113,91,74,49,10.21197608,56.16101782,8/1/2014 13:55
30,112,92,78,50,10.21197608,56.16101782,8/1/2014 14:00
28,117,90,75,45,10.21197608,56.16101782,8/1/2014 14:05
29,112,95,73,45,10.21197608,56.16101782,8/1/2014 14:10
28,109,91,70,43,10.21197608,56.16101782,8/1/2014 14:15
29,113,90,69,39,10.21197608,56.16101782,8/1/2014 14:20
26,108,93,67,37,10.21197608,56.16101782,8/1/2014 14:25
25,112,88,70,40,10.21197608,56.16101782,8/1/2014 14:30
20,111,92,70,43,10.21197608,56.16101782,8/1/2014 14:35
17,106,94,68,47,10.21197608,56.16101782,8/1/2014 14:40
22,108,97,68,47,10.21197608,56.16101782,8/1/2014 14:45
18,110,94,72,46,10.21197608,56.16101782,8/1/2014 14:50
22,114,99,75,43,10.21197608,56.16101782,8/1/2014 14:55
26,118,99,77,38,10.21197608,56.16101782,8/1/2014 15:00
31,113,100,76,33,10.21197608,56.16101782,8/1/2014 15:05
32,112,99,81,38,10.21197608,56.16101782,8/1/2014 15:10
32,117,96,79,42,10.21197608,56.16101782,8/1/2014 15:15
34,119,98,76,41,10.21197608,56.16101782,8/1/2014 15:20
34,123,97,78,40,10.21197608,56.16101782,8/1/2014 15:25
32,120,101,77,41,10.21197608,56.16101782,8/1/2014 15:30
33,119,102,73,37,10.21197608,56.16101782,8/1/2014 15:35
35,120,104,75,38,10.21197608,56.16101782,8/1/2014 15:40
30,123,102,71,43,10.21197608,56.16101782,8/1/2014 15:45
33,122,103,66,39,10.21197608,56.16101782,8/1/2014 15:50
31,121,101,63,40,10.21197608,56.16101782,8/1/2014 15:55
30,124,100,68,43,10.21197608,56.16101782,8/1/2014 16:00
35,127,104,63,46,10.21197608,56.16101782,8/1/2014 16:05
36,128,102,68,45,10.21197608,56.16101782,8/1/2014 16:10
40,125,99,71,46,10.21197608,56.16101782,8/1/2014 16:15
38,130,103,71,50,10.21197608,56.16101782,8/1/2014 16:20
35,130,105,66,45,10.21197608,56.16101782,8/1/2014 16:25
